City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,81.86,few clouds,3.0707,172.7902,Isles Sunset Lodge
5,Rikitea,PF,78.4,clear sky,-23.1203,-134.9692,People ThankYou
14,Faanui,PF,80.89,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
31,Hithadhoo,MV,83.71,scattered clouds,-0.6,73.0833,Scoop Guest House
33,Atuona,PF,79.41,light rain,-9.8,-139.0333,Villa Enata
35,Maumere,ID,85.14,overcast clouds,-8.6199,122.2111,Sylvia Hotel
39,Manggar,ID,86.23,scattered clouds,-2.8833,108.2667,Guest Hotel
49,Saint-Philippe,RE,79.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Kavieng,PG,85.77,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
53,Hervey Bay,AU,75.49,broken clouds,-25.2986,152.8535,Shelly Bay Resort
65,Kupang,ID,86.88,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
68,Tuy Hoa,VN,81.52,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
77,Tura,IN,83.97,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
87,Maningrida,AU,89.33,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
88,Flinders,AU,82.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
105,Bhadohi,IN,95.0,clear sky,25.4167,82.5667,Hotel Glory- Classic Restaurant
108,Soe,ID,82.06,overcast clouds,-9.8607,124.284,Dena Hotel
109,Taitung,TW,77.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
111,Chalala,IN,92.61,clear sky,21.4167,71.1667,Radhe guest house
112,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
119,Laem Sing,TH,91.74,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
122,Mandera,KE,81.28,moderate rain,3.9366,41.867,Hiren Hotel Mandera
124,Fomboni,KM,83.25,few clouds,-12.28,43.7425,Auberge les abou
127,Georgetown,MY,91.33,few clouds,5.4112,100.3354,Cititel Penang
130,Honiara,SB,83.48,light rain,-9.4333,159.95,Heritage Park Hotel
134,Utinga,BR,79.2,light rain,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
137,Cockburn Town,TC,77.54,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
