City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,60.91,82,0,11.99,clear sky
1,Butaritari,KI,3.0707,172.7902,81.86,72,18,12.17,few clouds
2,Mataura,NZ,-46.1927,168.8643,61.48,66,53,2.66,broken clouds
3,Homer,US,59.6425,-151.5483,40.89,70,100,3.44,light rain
4,Busselton,AU,-33.65,115.3333,66.34,58,96,5.84,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,78.4,63,7,8.75,clear sky
6,Moose Factory,CA,51.2585,-80.6094,13.98,92,0,3.44,clear sky
7,Asau,RO,46.4333,26.4,37.96,78,45,6.76,scattered clouds
8,Mandurah,AU,-32.55,115.7,70.92,53,1,10.2,clear sky
9,Chuy,UY,-33.6971,-53.4616,60.87,86,100,5.88,overcast clouds
10,Yeniseysk,RU,58.4497,92.1703,34.27,65,95,11.72,overcast clouds
11,Tasiilaq,GL,65.6145,-37.6368,31.1,94,100,8.1,overcast clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,74.44,93,100,6.44,overcast clouds
13,Ribeira Grande,PT,38.5167,-28.7,57.9,65,43,18.77,scattered clouds
14,Faanui,PF,-16.4833,-151.75,80.89,74,11,9.48,light rain
15,Hobart,AU,-42.8794,147.3294,61.27,68,75,16.11,broken clouds
16,Orlik,RU,52.5178,99.825,50.81,40,99,6.8,overcast clouds
17,Vaini,TO,-21.2,-175.2,84.36,79,75,5.75,broken clouds
18,Barrow,US,71.2906,-156.7887,6.82,78,0,10.36,clear sky
19,Bluff,NZ,-46.6,168.3333,61.81,70,87,5.06,overcast clouds
20,East London,ZA,-33.0153,27.9116,59.94,88,0,8.05,clear sky
21,Thompson,CA,55.7435,-97.8558,17.76,62,40,2.3,scattered clouds
22,Hermanus,ZA,-34.4187,19.2345,60.94,86,87,11.07,overcast clouds
23,Vinh,VN,18.6667,105.6667,70.41,90,100,7.61,overcast clouds
24,Baghdad,IQ,33.3406,44.4009,62.51,36,75,4.61,broken clouds
25,Ushuaia,AR,-54.8,-68.3,44.26,81,20,14.97,few clouds
26,Port Hardy,CA,50.6996,-127.4199,48.38,49,100,23.02,overcast clouds
27,Bilma,NE,18.6853,12.9164,74.62,20,22,10.74,few clouds
28,Pevek,RU,69.7008,170.3133,12.4,89,50,3.96,scattered clouds
29,Tiksi,RU,71.6872,128.8694,10.31,92,96,3.47,overcast clouds
30,Colares,PT,38.7992,-9.4469,59.29,77,55,25.99,broken clouds
31,Hithadhoo,MV,-0.6,73.0833,83.71,73,26,8.77,scattered clouds
32,Nizhnevartovsk,RU,60.9344,76.5531,28.42,64,40,2.24,scattered clouds
33,Atuona,PF,-9.8,-139.0333,79.41,80,18,17.6,light rain
34,Castro,BR,-24.7911,-50.0119,49.53,99,21,4.9,few clouds
35,Maumere,ID,-8.6199,122.2111,85.14,71,85,3.58,overcast clouds
36,Porto Recanati,IT,43.4365,13.6613,42.98,72,7,7.56,clear sky
37,Rio Cuarto,AR,-33.1307,-64.3499,58.48,66,0,10.36,clear sky
38,Kruisfontein,ZA,-34.0033,24.7314,59.88,89,100,2.51,overcast clouds
39,Manggar,ID,-2.8833,108.2667,86.23,66,31,6.17,scattered clouds
40,Punta De Bombon,PE,-17.1717,-71.7931,66.36,77,77,7.02,broken clouds
41,Provideniya,RU,64.3833,-173.3,32.36,93,100,20.13,mist
42,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.28,98,100,0.6,overcast clouds
43,Mar Del Plata,AR,-38.0023,-57.5575,60.87,93,0,11.99,clear sky
44,Pisco,PE,-13.7,-76.2167,63.01,82,0,9.22,clear sky
